user_example,intent
olá,cumprimentar
oi Taís,cumprimentar
"olá Taís, como vai?",cumprimentar
como vai?,cumprimentar
bom dia,cumprimentar
boa tarde,cumprimentar
boa noite,cumprimentar
oi tudo bem,cumprimentar
oi tudo bom,cumprimentar
oi como vai voce,cumprimentar
como vao as coisas,cumprimentar
alo,cumprimentar
alou,cumprimentar
yo,cumprimentar
e ai tudo bem,cumprimentar
tudo bom,cumprimentar
posso falar com voce,cumprimentar
pode me tirar uma duvida,cumprimentar
claro que sim,afirmar
posso sim,afirmar
quero saber mais,afirmar
quero sim,afirmar
por favor,afirmar
se voce puder,afirmar
quero mais detalhes,afirmar
quero mais,afirmar
tudo bem,afirmar
pode falar,afirmar
já sim,afirmar
já preenchi,afirmar
ja conheco,afirmar
conheco,afirmar
sei,afirmar
preenchi sim,afirmar
já preenchi uma proposta,afirmar
"sim, preenchi minha proposta",afirmar
Tá,afirmar
tá,afirmar
Tá bom,afirmar
tá bom,afirmar
Okay,afirmar
okay,afirmar
Ok,afirmar
ok,afirmar
claro,afirmar
por favor,afirmar
se não for incomodo,afirmar
não,negar
não quero saber mais,negar
quero falar sobre outra coisa,negar
"não, ainda não",negar
não preenchi,negar
nao preenchi,negar
nunca preenchi,negar
nunca fiz,negar
nunca,negar
nao fiz,negar
não está,negar
não tem nada a ver,negar
não é nada disso,negar
ainda não,negar
não sei,negar
não conheço,negar
nao conheco,negar
quero nao,negar
nao quero,negar
"não, tudo bem",negar
nada,negar
não quero saber de mais nada,negar
"não era isso, me enganei",negar
não era isso,negar
não é nada disso,negar
não sei onde se encaixa,negar
não sei dizer,negar
não sei bem,negar
não sei onde a minha pergunta se encaixa,negar
não tenho certeza,negar
escolhi errado,negar
falei errado,negar
hmm não sei,negar
nao sei minha duvida,negar
não sei o que perguntar,negar
não sei o que quero saber,negar
sei lá,negar
tanto faz,negar
nao sei o que perguntar,negar
nao sei o que questionar,negar
nao sei o que quero saber,negar
ainda nao sei,negar
ainda nao sei escolher um tópico,negar
ainda não pensei sobre isso,negar
não sei do que quero falar,negar
não sei do que quero conversar,negar
quero aprender mais sobre a lei,afirmar_curiosidades
quero saber mais sobre a lei,afirmar_curiosidades
pretendo saber mais sobre a lei,afirmar_curiosidades
gostaria de aprender mais sobre a lei,afirmar_curiosidades
gostaria de saber mais sobre a lei,afirmar_curiosidades
quero falar sobre a lei,afirmar_curiosidades
mais sobre a lei,afirmar_curiosidades
Mais sobre a Lei Rouanet,afirmar_curiosidades
vamos falar sobre a lei,afirmar_curiosidades
sobre a lei,afirmar_curiosidades
a lei,afirmar_curiosidades
lei,afirmar_curiosidades
lei rouanet,afirmar_curiosidades
Rouanet,afirmar_curiosidades
rouanet,afirmar_curiosidades
curiosidades,afirmar_curiosidades
gostaria de falar mais sobre a lei,afirmar_curiosidades
tenho duvidas na lei rouanet,afirmar_curiosidades
possuo curiosidades sobre a lei rouanet,afirmar_curiosidades
sobre a Lei eu acho,afirmar_curiosidades
creio que sobre a lei rouanet,afirmar_curiosidades
o que é a lei,afirmar_curiosidades
O que é a lei,afirmar_curiosidades
prefiro conversar sobre criação e andamento de projetos,afirmar_projeto
prefiro conversar sobre proposta,afirmar_projeto
prefiro conversar sobre projetos,afirmar_projeto
prefiro falar sobre criação e andamento de projetos,afirmar_projeto
prefiro falar sobre proposta,afirmar_projeto
prefiro falar sobre projetos,afirmar_projeto
quero conversar sobre projetos,afirmar_projeto
quero conversar sobre criação e andamento de projetos,afirmar_projeto
quero conversar sobre proposta,afirmar_projeto
quero conversar sobre projetos,afirmar_projeto
quero falar sobre proposta,afirmar_projeto
quero falar sobre projetos,afirmar_projeto
projetos,afirmar_projeto
projeto,afirmar_projeto
proposta,afirmar_projeto
propostas,afirmar_projeto
sobre proposta,afirmar_projeto
sobre projetos,afirmar_projeto
sobre a criação,afirmar_projeto
sobre a criacao,afirmar_projeto
sobre o andamento,afirmar_projeto
andamento,afirmar_projeto
criação,afirmar_projeto
criacao,afirmar_projeto
criação de projetos,afirmar_projeto
criação de projeto,afirmar_projeto
andamento de projetos,afirmar_projeto
o que é um projeto?,o_que_eh
o que é a cnic?,o_que_eh
o que é proposta?,o_que_eh
o que e proponente?,o_que_eh
o que é isso?,o_que_eh
o que preenchimento quer dizer?,o_que_eh
o que lei rouanet significa?,o_que_eh
oq é Lei Rouanet?,o_que_eh
oq é a Lei Rouanet?,o_que_eh
pode conceituar salic?,o_que_eh
pode conceituar o salic?,o_que_eh
pode explicar execução?,o_que_eh
pode me explicar a fase de preenchimento?,o_que_eh
pode me explicar a lei rouanet?,o_que_eh
pode me dar o conceito do salic,o_que_eh
não faço ideia do que seja proponente,o_que_eh
não sei bem o que você quer dizer com sefic,o_que_eh
Não sei o que é  e90,o_que_eh
me explique prestação de contas,o_que_eh
me explica o que é a cnic,o_que_eh
